ID,NAME,IMAGE,LINK,EMAIL,PHONE,CELL_PHONE,ADDRESS,ADDRESS2,POSTAL_CODE,TOWN,WEBSITE
9982485f-56c0-493a-b3b7-edf69dce7a20,ASSOCIATION SPORTIVE PLESSIS SAVIGNY LE TEMPLE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770681-9e73ec9f-08c0-478d-a388-d38ac7855498.png,http://ecureuilsvolants.free.fr/,,,,STADE NAUTIQUE JEAN BOUIN,1 PLACE NATHALIE LEMEL,77176,Savigny-le-Temple,http://ecureuilsvolants.free.fr/
41c7e2fa-a162-4c5e-82c8-00169dad0c96,CLUB LA PALME DE LOING MORETAIN,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770644-197069d2-6d46-4fb8-b118-96c389106146.png,http://www.palm-moret.com,,,06 83 71 01 08,PISCINE DU GRAND JARDIN,Route de Saint Mamm�s,77250,Moret-Loing-et-Orvanne,http://www.palm-moret.com
d5d5243d-96e0-4ea5-91d6-80b1405c7f6d,COSEG ABYSS CLUB,,,,,,PISCINE DE DAMMARIE LES LYS,,77190,Dammarie-les-Lys,
0392e7e7-5907-4d00-b2e0-00bec6119b9e,LES PLONGEURS D ANCOEUR,,https://lesplongeursdancoeur.wixsite.com/website-2,,,06 62 83 84 78,CENTRE NAUTIQUE AQUALUDE,22-24  RUE DES ECOLES,77370,Nangis,https://lesplongeursdancoeur.wixsite.com/website-2
6eab5ac2-fcd8-4ca3-bc32-23f811a99a39,AMICALE SPORTIVE AVONNAISE DE PLONGEE,,,,,,PISCINE DE LA FAISANDERIE,RTE DE L ERMITAGE,77300,Fontainebleau,
8bd76d9c-b1de-454e-bf5e-66a77935a714,DIVERS-PLONGEE,,http://www.divers-plongee.com,,,06 30 60 07 09,64 RUE DU CHEMIN VERT,,77176,NANDY,http://www.divers-plongee.com
44066223-7b6b-44d0-83ee-29138b2edda1,CAMB,,,,,,PISCINE DE FONTENAY TRESIGNY,PLACE PIERRE DE COUBERTIN,77610,FONTENAY TRESIGNY,
db1d7703-92fd-40f7-88fa-6bf4e86cb21c,CSM PLONGEE,,http://www.csmplongee.fr,,,,PISCINE DES ROUGEAUX,11 RUE DU 11 NOVEMBRE,77130,Montereau-Fault-Yonne,http://www.csmplongee.fr
ca8990ef-0c42-4e02-9aa6-6a8ac67fd245,BULLES ET EAU,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770841-6189f8b6-2e02-472e-87aa-d08492d5e641.png,http://www.bulleseteau.com,,,07 71 25 91 39,PISCINE INTERCOMMUNALE EGREVILLE,8 RUE GEORGES FREBAULT,77620,�greville,http://www.bulleseteau.com
917ffcf7-d969-458b-ba1c-fb5afe949f8c,LES GORGONES DE VILLEPARISIS,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770869-ef1d7362-72ea-4c09-b640-c326a1a88f0d.png,http://gorgone.e-monsite.com/,,,06 69 18 45 08,PISCINE JEAN TARIS,88 AVENUE DE BERNY,77270,Villeparisis,http://gorgone.e-monsite.com/
36698fb2-6177-4900-ad8c-df14a0bc939e,VAL D EUROPE PLONGEE,,http://www.valdeuropeplongee.fr,,,,CENTRE AQUATIQUE DU VAL D EUROPE,2 RUE DU GUE,77700,Bailly-Romainvilliers,http://www.valdeuropeplongee.fr
631c19c8-f1d0-480e-ba6c-b32652c741e8,O.C.E.A.N.S,,http://www.oceans.vpdive.fr,,,,PISCINE TOURNESOL,5 RUE JULES VERNES,77140,Nemours,http://www.oceans.vpdive.fr
